ID,CAS,name,molecular formula,chemical structure,B3,C4,C3,C2,N+3,N3,N2,N1,O-1,O2,O1,F1,P4,S4,S3,S1,Cl1,R4,R5,R6,R7,OP
228,24609-83-4,"2-Methylthietane 1,1-dioxide",C4H8O2S,,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,3.1
229,-,Methyl(2-methoxyethyl) sulfone,C4H10O3S,,0,4,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3.3
230,-,3-Methylsulfonylpropyl acetate,C6H12O4S,,0,5,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3.72
231,-,"2-(Methylsulfonyl)ethyl 2,2-difluoroacetate",C5H8F2O4S,,0,4,1,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,4.05
232,34502-60-8,4-(Methylsulfonyl)butanenitrile,C5H9NO2S,,0,4,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3.89
233,5687-92-3,"Thietane 1,1-dioxide",C3H6O2S,,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,4.25
234,20627-66-1,3-Methoxysulfolane,C5H10O3S,,0,5,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,3.23
235,17200-24-7,3-Ethoxysulfolane,C6H12O3S,,0,6,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,3.15
236,17200-23-6,"3-Isopropoxytetrahydrothiophene 1,1-dioxide",C7H14O3S,,0,7,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,3.08
237,59854-26-1,"3-(2-Methoxyethoxy)thiolane 1,1-dioxide",C7H14O4S,,0,7,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,2.8
238,20627-68-3,"1,1-Dioxidotetrahydro-3-thienyl acetate",C6H10O4S,,0,5,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,3.72
239,62020-09-1,Methyl Methanesulfonylacetate,C4H8O4S,,0,3,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3.92
240,7209-44-1,1-Methoxy-2-(2-methoxyethanesulfonyl)ethane,C6H14O4S,,0,6,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,3.23
